time_of_day,day_of_week,vehicle_count,weather,road_type,traffic_level
7,2,142,3,2,Medium
1,1,8,0,1,Low
21,2,54,1,0,Low
18,1,160,2,0,Medium
21,0,48,3,1,Low
10,6,158,0,0,Medium
12,2,190,1,0,High
18,1,270,0,1,High
4,3,5,3,1,Low
8,4,179,1,2,High
9,4,214,1,0,High
5,5,31,0,0,Low
18,1,243,0,2,High
23,2,97,3,2,Low
3,5,9,2,1,Low
1,0,38,2,0,Low
6,5,97,2,2,Low
0,3,35,3,1,Low
18,6,52,2,0,Low
7,0,214,2,2,High
14,6,76,3,0,Low
0,6,19,0,0,Low
5,0,22,1,0,Low
16,5,88,3,0,Low
23,2,69,3,1,Low
17,4,290,0,1,High
13,0,126,3,0,Medium
1,6,31,1,2,Low
11,0,116,3,1,Medium
11,4,120,1,0,Medium
6,4,97,2,2,Low
2,0,15,1,2,Low
5,3,12,2,0,Low
20,2,229,1,0,High
21,1,88,2,0,Low
1,4,5,1,1,Low
2,4,16,0,0,Low
19,6,84,3,1,Medium
0,1,5,3,0,Low
20,5,106,2,2,Medium
15,6,90,3,2,Low
6,3,86,3,0,Low
6,3,117,1,1,Medium
6,4,137,1,0,Medium
15,1,41,2,2,Low
12,0,109,1,0,Medium
15,2,39,2,1,Low
9,4,168,3,2,Medium
19,1,144,3,0,Medium
2,4,28,3,1,Low
8,4,150,2,1,High
14,4,110,3,0,Medium
5,2,5,2,2,Low
9,2,184,1,1,High
2,1,5,3,2,Low
11,6,143,2,2,Medium
7,0,266,1,0,High
20,3,280,0,2,High
4,5,5,0,0,Low
23,2,111,0,1,Medium
10,3,259,0,2,High
20,0,177,2,2,High
7,6,93,1,0,Low
10,3,246,0,1,High
5,2,7,2,0,Low
23,0,58,3,1,Low
3,1,13,3,1,Low
13,6,187,1,2,High
19,6,160,1,0,Medium
2,1,16,1,1,Low
23,2,46,2,2,Low
12,2,124,2,0,Medium
21,3,73,3,0,Low
18,5,75,2,0,Low
18,2,160,3,2,Medium
3,5,21,3,2,Low
15,6,159,0,0,Medium
22,4,81,0,1,Medium
19,5,108,2,0,Medium
22,3,33,1,2,Low
18,3,227,2,2,High
19,6,133,3,2,Medium
2,4,25,3,1,Low
14,5,109,2,1,Medium
12,0,158,0,2,Medium
20,0,185,3,1,High
3,6,16,2,2,Low
20,4,313,0,0,High
13,0,149,1,1,High
13,0,77,3,1,Medium
23,0,76,2,2,Low
8,6,122,0,1,Medium
0,4,42,2,0,Low
16,5,125,2,1,Medium
20,6,101,2,2,Medium
18,5,101,2,0,Medium
15,3,96,3,0,Low
21,0,104,1,0,Medium
21,4,67,0,0,Low
3,4,5,2,0,Low
4,0,26,1,1,Low
19,4,163,3,0,Medium
0,3,18,1,0,Low
0,0,20,2,2,Low
21,1,93,1,0,Low
16,4,45,3,1,Low
20,2,226,1,2,High
9,6,141,0,0,Medium
17,2,167,3,2,Medium
18,3,285,1,2,High
5,6,5,1,1,Low
3,4,36,2,0,Low
14,4,147,2,0,Medium
4,0,20,1,2,Low
3,4,18,3,1,Low
23,3,82,0,1,Medium
10,6,107,3,1,Medium
13,6,136,3,0,Medium
14,4,163,0,2,Medium
14,5,160,1,2,Medium
22,4,89,0,0,Low
20,0,143,3,2,Medium
20,1,120,3,0,Medium
8,3,169,3,0,Medium
1,5,5,2,1,Low
10,4,182,1,0,High
17,2,241,2,0,High
16,0,71,2,2,Low
8,0,203,0,2,High
18,3,156,2,1,High
12,2,131,0,2,Medium
8,0,203,1,0,High
20,6,103,1,2,Medium
7,3,209,0,1,High
23,0,98,1,0,Low
20,4,240,0,1,High
13,5,105,3,1,Medium
14,5,137,0,0,Medium
2,2,39,1,1,Low
6,2,79,1,2,Low
0,5,44,3,0,Low
2,2,5,1,2,Low
14,1,87,2,0,Low
8,0,238,0,1,High
6,0,41,3,1,Low
10,3,253,2,1,High
13,1,123,1,0,Medium
15,1,82,0,1,Medium
5,2,5,2,0,Low
9,2,191,1,0,High
22,1,82,1,2,Low
9,6,85,3,2,Low
6,6,107,3,2,Medium
16,3,47,2,0,Low
12,2,135,2,2,Medium
18,3,319,1,1,High
6,1,101,0,1,Medium
11,1,110,2,1,Medium
2,6,16,3,2,Low
8,1,243,1,1,High
21,3,107,0,0,Medium
21,5,130,2,0,Medium
15,4,41,2,1,Low
6,0,85,3,0,Low
3,0,9,3,0,Low
11,0,101,1,2,Medium
23,1,47,3,2,Low
7,1,163,3,0,Medium
1,0,41,2,0,Low
2,6,5,1,1,Low
18,3,178,3,0,High
2,4,5,2,0,Low
11,4,82,3,1,Medium
21,1,94,2,1,Medium
21,6,94,2,1,Medium
19,1,147,2,1,High
4,4,5,0,1,Low
14,4,141,2,2,Medium
11,6,105,1,0,Medium
4,0,34,1,1,Low
20,4,218,0,2,High
22,4,116,1,2,Medium
4,0,19,3,1,Low
15,1,70,3,2,Low
18,3,220,3,1,High
17,5,82,1,1,Medium
8,1,165,3,0,Medium
6,2,105,1,1,Medium
0,3,9,3,0,Low
15,2,59,2,0,Low
5,6,5,1,1,Low
10,4,274,0,1,High
20,2,150,3,2,Medium
12,6,127,3,2,Medium
8,3,283,0,1,High
1,3,39,1,0,Low
17,5,110,0,0,Medium
16,5,89,0,2,Low
23,3,73,1,1,Low
18,6,112,3,1,Medium
7,5,152,1,1,High
20,6,84,3,2,Low
22,1,93,2,2,Low
14,1,163,0,2,Medium
14,1,96,2,2,Low
16,4,94,1,0,Low
14,3,143,1,1,High
14,3,108,3,1,Medium
23,3,110,2,0,Medium
7,5,96,0,2,Low
1,4,5,1,2,Low
17,2,190,3,2,High
7,3,229,0,1,High
1,6,23,3,1,Low
7,5,151,2,0,Medium
11,0,120,0,2,Medium
4,0,6,3,0,Low
5,0,5,2,1,Low
3,6,5,1,1,Low
7,0,288,1,2,High
13,5,138,2,0,Medium
4,6,31,0,1,Low
15,5,121,0,2,Medium
6,5,165,0,0,Medium
9,5,165,0,1,High
8,2,203,1,0,High
16,4,88,0,2,Low
10,6,79,0,0,Low
21,5,162,0,0,Medium
6,3,126,0,2,Medium
23,1,59,2,2,Low
13,2,104,3,1,Medium
0,4,5,2,0,Low
15,6,140,3,0,Medium
16,4,87,3,1,Medium
14,3,133,0,0,Medium
16,0,92,0,0,Low
22,0,64,1,1,Low
0,0,11,0,1,Low
5,0,36,1,1,Low
9,2,219,2,2,High
3,3,33,2,1,Low
3,5,35,1,2,Low
19,1,191,1,1,High
19,1,260,0,1,High
21,4,89,3,1,Medium
7,4,267,1,1,High
11,0,60,2,1,Low
3,1,32,1,1,Low
22,6,113,0,0,Medium
5,6,36,1,1,Low
6,6,171,0,2,Medium
15,6,120,1,1,Medium
14,2,144,0,2,Medium
4,2,9,1,2,Low
1,3,17,2,2,Low
22,5,128,3,0,Medium
12,4,130,0,0,Medium
18,4,131,3,1,High
23,6,146,0,0,Medium
21,3,87,1,1,Medium
2,6,5,1,2,Low
1,0,5,0,0,Low
12,3,120,2,1,Medium
14,2,124,3,0,Medium
23,5,85,3,2,Low
22,3,95,2,1,Medium
0,5,36,0,2,Low
23,6,52,3,0,Low
4,3,31,2,1,Low
0,2,34,1,2,Low
17,3,274,1,1,High
9,1,196,0,1,High
8,4,258,0,1,High
16,1,61,3,1,Low
0,3,8,0,2,Low
16,3,107,0,1,Medium
17,5,96,2,1,Medium
2,4,5,1,0,Low
12,4,84,3,2,Low
10,0,216,0,2,High
14,2,93,3,0,Low
0,0,15,2,0,Low
23,1,46,0,1,Low
8,4,204,0,0,High
3,6,5,3,1,Low
23,3,107,1,2,Medium
9,6,90,2,2,Low
23,5,123,2,0,Medium
18,2,164,3,1,High
8,0,236,0,2,High
10,5,100,3,2,Medium
7,5,164,0,1,High
12,3,155,1,2,Medium
11,2,94,1,2,Low
9,2,163,2,2,Medium
9,2,124,3,1,Medium
20,3,137,3,1,High
2,6,27,1,0,Low
13,4,176,0,1,High
14,3,149,0,2,Medium
19,5,159,2,2,Medium
5,3,5,2,0,Low
9,6,105,3,0,Medium
15,4,92,0,1,Medium
7,4,147,2,2,Medium
4,0,8,3,0,Low
15,4,103,3,1,Medium
9,0,157,3,0,Medium
11,1,74,2,1,Low
17,0,286,0,2,High
5,5,39,2,0,Low
20,2,211,2,0,High
1,3,28,1,0,Low
3,4,5,1,2,Low
9,3,191,3,0,High
7,2,223,0,2,High
21,1,58,0,1,Low
21,0,66,3,1,Low
13,5,138,3,2,Medium
0,2,12,2,0,Low
20,5,110,1,1,Medium
23,4,28,2,0,Low
15,2,81,2,0,Low
18,2,219,1,2,High
20,1,293,0,2,High
7,1,219,0,1,High
18,0,211,1,0,High
18,1,172,2,1,High
9,3,169,3,2,Medium
14,4,87,3,2,Low
10,2,280,1,2,High
3,6,14,0,2,Low
22,6,160,0,2,Medium
19,6,93,3,2,Low
6,4,112,0,1,Medium
23,5,118,2,0,Medium
3,6,5,3,2,Low
2,3,12,2,0,Low
16,5,120,1,1,Medium
20,6,137,1,0,Medium
16,0,105,1,2,Medium
12,2,144,1,1,High
6,4,83,3,2,Low
12,5,174,0,0,Medium
15,1,33,3,1,Low
6,2,120,0,0,Medium
15,4,124,1,0,Medium
15,5,140,1,1,High
15,6,154,1,0,Medium
8,1,203,1,0,High
7,5,133,1,2,Medium
20,2,244,0,0,High
9,1,161,0,0,Medium
3,0,5,0,1,Low
12,6,123,3,1,Medium
22,3,113,1,2,Medium
15,6,72,2,0,Low
12,1,119,2,2,Medium
9,0,230,0,2,High
14,0,149,1,2,Medium
3,6,25,3,2,Low
5,3,30,2,1,Low
6,5,123,1,2,Medium
7,4,213,2,1,High
13,3,146,0,0,Medium
6,5,167,1,0,Medium
11,6,104,2,0,Medium
16,0,67,0,2,Low
15,1,132,0,1,High
12,3,151,2,2,Medium
21,4,148,1,0,Medium
1,4,35,0,0,Low
19,4,286,0,2,High
0,2,5,2,0,Low
6,2,96,0,2,Low
6,6,98,3,1,Medium
22,6,179,1,1,High
18,6,172,0,2,Medium
17,5,97,1,1,Medium
0,1,30,3,1,Low
20,1,166,2,0,Medium
20,5,186,1,2,High
3,0,5,2,2,Low
22,1,88,0,2,Low
21,5,127,1,1,Medium
9,2,254,1,1,High
5,2,12,0,2,Low
17,1,285,1,2,High
21,4,74,1,1,Low
15,1,79,0,1,Medium
9,2,260,0,0,High
23,4,130,1,1,High
4,6,35,1,2,Low
12,4,77,3,2,Low
1,0,28,0,1,Low
6,3,123,0,1,Medium
12,4,101,2,2,Medium
15,5,176,0,2,High
7,2,160,3,0,Medium
1,2,5,0,2,Low
4,2,37,1,0,Low
17,2,144,3,0,Medium
1,3,5,2,1,Low
22,2,64,0,0,Low
20,4,147,2,0,Medium
13,1,117,2,0,Medium
14,1,162,0,2,Medium
5,4,17,0,1,Low
8,5,150,0,1,High
11,2,130,0,1,High
5,4,20,2,0,Low
20,3,183,3,1,High
6,3,64,1,2,Low
16,3,61,0,1,Low
2,1,24,1,1,Low
14,2,166,0,1,High
2,5,9,2,0,Low
2,2,17,3,2,Low
14,0,125,2,0,Medium
13,5,88,3,1,Medium
13,1,148,1,0,Medium
7,1,260,0,1,High
20,2,201,3,2,High
10,3,192,1,0,High
17,4,178,3,1,High
7,0,205,1,1,High
11,2,107,2,2,Medium
5,2,24,1,2,Low
2,5,5,2,1,Low
11,6,185,0,0,High
21,5,151,2,2,Medium
6,3,34,0,1,Low
2,1,17,3,2,Low
11,2,46,1,1,Low
15,0,110,0,0,Medium
11,6,140,0,2,Medium
10,6,93,3,1,Medium
6,2,54,3,1,Low
6,6,181,1,1,High
11,0,98,1,0,Low
8,3,257,0,2,High
0,0,43,0,0,Low
1,4,36,0,1,Low
0,3,49,0,0,Low
0,5,6,0,1,Low
17,5,172,0,0,Medium
22,6,181,1,0,High
10,0,164,3,1,High
9,4,208,2,2,High
2,1,17,3,1,Low
9,4,216,1,1,High
18,4,162,3,2,Medium
15,0,66,3,1,Low
6,3,86,0,0,Low
13,4,189,0,2,High
15,2,98,2,1,Medium
20,6,133,3,0,Medium
22,2,108,0,1,Medium
21,1,121,0,2,Medium
14,5,103,0,1,Medium
12,6,167,1,0,Medium
5,3,29,1,1,Low
4,6,24,0,0,Low
18,5,95,3,1,Medium
22,0,97,3,1,Medium
23,1,100,1,0,Medium
21,4,80,3,2,Low
19,6,98,2,2,Low
13,1,130,2,1,High
12,1,147,0,0,Medium
8,4,214,0,0,High
18,3,252,0,1,High
5,2,14,1,0,Low
23,6,154,0,1,High
1,5,43,1,0,Low
15,4,101,0,0,Medium
2,3,20,1,2,Low
15,6,98,3,0,Low
17,6,112,3,2,Medium
12,6,94,3,0,Low
23,3,88,0,2,Low
21,1,60,3,1,Low
18,6,175,1,1,High
10,1,213,1,0,High
8,3,237,2,0,High
5,1,34,1,1,Low
20,4,275,1,2,High
4,1,5,2,1,Low
6,0,82,0,2,Low
2,1,32,0,1,Low
18,3,209,3,2,High
16,2,107,1,2,Medium
13,6,111,3,1,Medium
16,1,92,2,0,Low
16,5,108,3,0,Medium
7,6,125,2,1,Medium
13,2,142,2,2,Medium
8,5,111,0,2,Medium
15,0,38,2,1,Low
7,5,87,2,1,Medium
10,5,97,3,1,Medium
9,1,135,2,2,Medium
22,1,72,2,2,Low
12,6,104,3,2,Medium
16,2,58,3,1,Low
18,2,277,0,0,High
12,5,161,0,0,Medium
13,1,165,2,2,Medium
7,4,200,2,2,High
15,4,52,3,2,Low
19,3,320,1,1,High
21,1,47,2,0,Low
17,3,177,2,0,High
14,4,126,0,1,Medium
1,2,37,2,2,Low
4,1,5,1,1,Low
21,2,73,2,2,Low
6,2,61,2,0,Low
15,0,43,3,2,Low
13,5,131,1,1,High
18,5,147,0,2,Medium
11,0,93,2,1,Medium
9,6,148,0,0,Medium
16,1,75,3,2,Low
22,0,70,1,1,Low
14,3,103,2,0,Medium
1,0,27,1,0,Low
22,6,112,2,0,Medium
6,0,119,1,1,Medium
20,3,224,2,1,High
6,5,47,3,2,Low
13,5,198,0,2,High
22,3,82,0,0,Low
19,5,104,3,2,Medium
12,5,101,3,2,Medium
19,5,80,3,1,Medium
19,3,217,0,1,High
20,5,63,3,0,Low
2,0,42,0,0,Low
6,1,67,3,2,Low
23,6,66,0,2,Low
7,5,145,0,1,High
12,5,159,1,2,Medium
17,6,141,1,2,Medium
1,2,27,3,2,Low
16,6,166,1,2,Medium
18,6,139,3,2,Medium
12,1,149,0,0,Medium
20,2,209,3,0,High
18,6,131,2,1,High
2,3,22,2,1,Low
7,2,201,3,2,High
20,3,207,2,0,High
7,6,163,1,1,High
5,4,57,0,0,Low
14,6,146,1,2,Medium
21,4,123,0,1,Medium
0,3,10,3,0,Low
14,2,165,2,1,High
11,2,118,0,1,Medium
6,3,115,1,0,Medium
3,2,18,1,0,Low
19,1,217,0,2,High
1,1,46,0,0,Low
9,1,130,3,0,Medium
21,5,149,2,2,Medium
12,6,89,3,0,Low
10,5,117,3,2,Medium
8,1,275,1,1,High
9,2,199,0,1,High
19,0,192,1,0,High
15,1,100,1,2,Medium
19,0,260,0,0,High
4,5,11,2,1,Low
10,6,152,1,2,Medium
21,1,81,0,2,Low
21,5,80,2,2,Low
2,5,5,1,1,Low
8,1,157,2,2,Medium
11,3,125,1,0,Medium
20,2,200,3,1,High
20,6,189,0,2,High
13,5,138,3,0,Medium
0,0,22,2,0,Low
12,5,168,1,2,Medium
13,5,108,3,2,Medium
5,1,44,1,0,Low
16,1,76,3,1,Medium
1,3,12,0,2,Low
7,0,106,3,0,Medium
5,5,5,1,1,Low
23,2,78,2,2,Low
13,5,135,1,0,Medium
3,5,29,3,0,Low
5,0,22,2,2,Low
14,2,126,1,1,Medium
18,3,208,1,0,High
15,5,99,0,2,Low
2,5,43,0,0,Low
22,4,54,2,0,Low
7,3,192,3,1,High
23,0,136,1,0,Medium
1,2,18,2,1,Low
10,1,175,3,2,High
6,3,97,0,0,Low
23,3,41,3,0,Low
22,6,75,3,2,Low
6,5,131,2,1,High
5,4,5,3,2,Low
3,3,15,2,0,Low
13,2,131,0,1,High
6,1,84,2,2,Low
5,2,8,3,1,Low
6,2,84,0,1,Medium
21,1,92,3,2,Low
6,0,136,1,1,High
13,4,179,1,0,High
8,6,114,0,0,Medium
8,6,85,3,1,Medium
7,0,146,3,2,Medium
13,1,158,1,2,Medium
18,5,141,2,1,High
18,2,152,3,0,Medium
18,6,111,0,2,Medium
16,2,59,3,1,Low
11,1,88,0,1,Medium
18,3,193,0,0,High
14,1,110,3,1,Medium
7,6,143,2,1,High
22,6,118,3,0,Medium
8,5,137,2,0,Medium
16,6,181,0,0,High
0,0,12,0,0,Low
12,1,88,3,2,Low
5,3,19,2,0,Low
2,2,29,1,2,Low
5,4,5,3,1,Low
19,4,169,3,1,High
16,0,102,2,1,Medium
5,3,5,2,0,Low
0,1,17,2,2,Low
8,5,138,2,0,Medium
19,2,281,1,2,High
6,3,76,3,2,Low
1,0,49,3,2,Low
19,2,192,2,1,High
21,4,52,0,0,Low
12,5,105,3,1,Medium
1,3,52,0,1,Low
11,5,103,3,2,Medium
6,0,125,1,0,Medium
4,1,48,3,0,Low
6,5,107,1,2,Medium
5,4,30,2,1,Low
19,3,207,1,1,High
12,1,171,1,0,Medium
17,6,97,3,1,Medium
13,5,139,2,1,High
14,6,115,2,2,Medium
4,2,21,3,0,Low
3,3,29,3,1,Low
3,5,7,2,1,Low
15,3,54,2,2,Low
21,5,121,3,1,Medium
14,6,123,0,0,Medium
8,5,116,2,2,Medium
14,2,102,0,1,Medium
15,1,91,3,1,Medium
8,3,166,2,0,Medium
1,6,20,2,1,Low
14,3,100,3,2,Medium
13,1,124,1,1,Medium
1,4,31,2,0,Low
9,5,93,0,1,Medium
15,0,104,2,0,Medium
6,2,89,3,2,Low
11,6,110,3,2,Medium
8,2,279,0,2,High
16,0,63,3,1,Low
16,4,130,1,1,High
1,1,19,2,1,Low
22,3,58,1,0,Low
3,1,5,2,0,Low
15,5,132,0,2,Medium
16,1,84,2,2,Low
23,5,124,1,1,Medium
3,6,5,2,1,Low
9,4,130,3,1,High
1,4,10,3,2,Low
3,6,35,0,0,Low
10,1,217,0,0,High
23,2,60,3,2,Low
12,5,107,2,0,Medium
7,2,306,1,2,High
20,0,145,3,1,High
9,3,200,0,0,High
20,4,237,1,2,High
16,5,114,3,0,Medium
7,4,241,0,2,High
0,4,6,0,1,Low
15,5,106,0,0,Medium
2,5,5,3,1,Low
15,3,105,0,1,Medium
1,4,5,2,0,Low
21,1,121,1,1,Medium
20,1,235,1,0,High
4,2,18,0,0,Low
13,4,152,0,1,High
15,2,101,1,2,Medium
11,2,60,3,1,Low
19,4,184,2,1,High
2,5,21,0,1,Low
2,6,6,0,0,Low
9,1,139,3,1,High
19,1,290,0,1,High
3,0,6,2,0,Low
20,6,100,2,0,Medium
13,0,89,2,2,Low
20,6,68,3,1,Low
16,2,64,0,1,Low
6,6,112,1,1,Medium
13,6,148,1,0,Medium
4,2,8,3,0,Low
4,0,19,1,2,Low
1,0,5,3,0,Low
17,2,273,1,0,High
23,1,125,1,1,Medium
6,3,118,1,1,Medium
2,2,5,0,2,Low
3,4,36,2,1,Low
19,5,86,3,2,Low
23,3,86,0,1,Medium
1,5,44,2,1,Low
11,0,120,0,0,Medium
18,6,166,0,2,Medium
8,1,129,2,1,Medium
8,3,214,2,0,High
22,2,96,0,1,Medium
17,2,120,3,1,Medium
17,3,181,1,2,High
17,6,99,3,0,Low
17,2,246,2,1,High
2,2,5,3,0,Low
7,2,106,3,0,Medium
20,5,93,3,1,Medium
12,1,113,0,1,Medium
22,1,22,2,0,Low
10,1,176,2,2,High
10,6,87,3,1,Medium
19,3,274,0,2,High
0,2,48,0,1,Low
1,1,5,0,2,Low
1,6,33,2,1,Low
17,5,101,1,2,Medium
21,6,125,0,1,Medium
16,3,84,3,1,Medium
13,1,84,3,1,Medium
11,4,72,1,1,Low
4,5,13,0,2,Low
8,6,73,3,0,Low
7,6,96,2,2,Low
6,5,121,2,2,Medium
16,1,100,2,2,Medium
10,6,153,1,2,Medium
2,1,27,0,2,Low
21,1,59,0,2,Low
22,5,56,3,0,Low
14,6,146,1,2,Medium
2,4,5,0,1,Low
14,0,119,0,1,Medium
11,6,191,0,2,High
11,3,64,1,0,Low
11,3,80,3,2,Low
19,6,136,0,0,Medium
8,0,159,3,0,Medium
7,0,278,1,0,High
0,4,24,1,2,Low
0,6,24,3,0,Low
16,6,160,2,0,Medium
21,6,109,0,2,Medium
22,5,116,1,2,Medium
3,3,32,2,1,Low
13,6,101,3,1,Medium
8,6,198,1,0,High
2,4,29,2,1,Low
22,5,72,3,0,Low
18,3,225,2,0,High
8,3,214,0,1,High
2,6,5,2,1,Low
18,6,67,3,1,Low
23,5,78,2,0,Low
2,6,5,0,2,Low
9,1,196,0,2,High
3,2,15,0,0,Low
11,0,73,3,0,Low
11,2,92,0,2,Low
20,5,153,0,0,Medium
5,0,5,1,1,Low
9,5,146,1,1,High
20,1,285,1,2,High
9,6,114,1,1,Medium
16,5,94,3,1,Medium
16,1,81,0,2,Low
6,0,119,0,2,Medium
17,2,165,3,2,Medium
14,4,210,1,0,High
3,6,11,2,1,Low
9,5,143,1,1,High
20,2,161,3,2,Medium
0,6,13,2,1,Low
21,4,125,0,2,Medium
8,3,251,0,2,High
23,2,87,2,1,Medium
22,0,134,1,1,High
15,3,145,0,0,Medium
3,4,43,2,0,Low
17,3,139,3,0,Medium
0,5,14,1,1,Low
5,2,25,3,0,Low
15,5,120,0,1,Medium
12,2,162,0,0,Medium
17,5,110,2,2,Medium
22,5,121,3,2,Medium
7,2,223,1,0,High
9,2,285,0,0,High
12,2,102,2,2,Medium
17,2,230,1,2,High
8,3,190,3,2,High
12,4,141,1,2,Medium
13,5,139,1,0,Medium
20,0,176,0,2,High
18,0,204,2,2,High
14,3,163,2,2,Medium
6,6,123,0,1,Medium
6,6,118,2,2,Medium
14,3,172,2,2,Medium
13,1,119,2,1,Medium
5,4,8,3,1,Low
17,6,72,3,1,Low
1,4,9,2,1,Low
8,0,195,0,2,High
1,3,12,1,1,Low
9,0,152,3,2,Medium
22,6,130,0,1,High
8,1,178,2,0,High
20,2,326,0,1,High
4,0,15,0,1,Low
16,5,136,1,1,High
0,5,12,3,0,Low
16,3,70,1,1,Low
17,6,70,2,2,Low
7,3,238,1,2,High
2,3,16,1,0,Low
9,0,162,3,2,Medium
7,3,181,3,2,High
6,6,118,3,1,Medium
17,3,150,2,2,Medium
14,2,112,2,1,Medium
15,0,62,0,0,Low
17,5,126,1,1,Medium
11,3,109,0,1,Medium
11,3,47,1,1,Low
9,1,212,1,2,High
23,4,64,3,0,Low
1,2,54,0,1,Low
21,6,72,3,2,Low
2,6,5,3,0,Low
8,5,82,2,2,Low
6,5,124,0,2,Medium
9,5,101,1,1,Medium
8,0,204,0,0,High
6,0,49,2,2,Low
2,6,57,0,1,Low
19,5,136,1,0,Medium
3,2,22,3,0,Low
8,6,153,0,1,High
21,6,106,2,1,Medium
21,4,49,3,2,Low
6,2,55,0,1,Low
12,6,172,0,2,Medium
9,6,62,2,0,Low
19,3,271,1,1,High
0,3,12,2,0,Low
16,4,73,2,0,Low
15,5,111,3,2,Medium
8,6,110,3,0,Medium
16,6,62,3,1,Low
14,3,127,3,2,Medium
3,2,18,1,2,Low
12,3,175,0,1,High
22,0,81,1,0,Low
8,3,237,1,0,High
17,5,113,1,0,Medium
10,3,171,3,2,Medium
21,5,101,3,1,Medium
8,2,158,2,2,Medium
1,5,47,2,2,Low
2,6,56,2,0,Low
3,6,62,0,2,Low
0,1,41,1,1,Low
16,0,31,3,1,Low
7,4,291,1,0,High
3,3,22,1,2,Low
23,6,106,1,0,Medium
9,1,186,2,0,High
15,4,88,2,1,Medium
6,6,97,2,0,Low
15,6,150,0,2,Medium
20,3,162,3,2,Medium
18,4,287,1,2,High
3,2,5,0,1,Low
11,6,162,2,2,Medium
6,0,42,3,2,Low
2,1,27,0,0,Low
6,6,125,2,0,Medium
14,6,137,3,1,High
23,4,58,0,0,Low
14,0,153,0,2,Medium
16,5,108,2,1,Medium
14,0,126,2,2,Medium
12,3,99,2,0,Low
20,2,289,1,1,High
2,5,47,3,2,Low
22,0,71,2,0,Low
6,5,168,0,1,High
0,3,24,3,1,Low
15,6,86,3,2,Low
11,0,103,1,0,Medium
0,5,5,3,2,Low
14,6,126,2,1,Medium
17,2,292,0,1,High
12,6,154,3,1,High
16,1,74,2,0,Low
20,3,208,2,1,High
12,3,180,1,1,High
19,0,189,2,2,High
12,0,135,2,0,Medium
15,1,104,1,1,Medium
2,1,12,3,0,Low
8,5,91,3,0,Low
11,0,134,0,2,Medium
4,4,5,3,1,Low
22,6,102,0,2,Medium
22,2,89,2,1,Medium
16,6,165,1,1,High
1,4,25,3,1,Low
1,1,16,3,2,Low
13,1,110,3,2,Medium
0,0,34,2,1,Low
4,3,5,3,1,Low
19,1,170,3,1,High
9,0,226,1,2,High
19,6,166,0,0,Medium
20,2,192,3,0,High
23,4,74,1,2,Low
16,0,81,1,2,Low
7,0,218,0,1,High
6,6,127,3,0,Medium
12,3,174,0,0,Medium
17,5,53,2,2,Low
8,3,305,0,2,High
10,2,132,3,2,Medium
2,0,10,1,2,Low
10,4,174,3,2,Medium
1,2,5,3,2,Low
19,4,294,1,1,High
12,0,161,0,0,Medium
0,3,28,3,1,Low
16,0,32,3,1,Low
2,0,26,3,2,Low
1,1,23,0,0,Low
7,6,105,1,0,Medium
18,2,285,0,2,High
22,6,155,1,2,Medium
19,6,124,1,0,Medium
19,3,290,0,1,High
15,6,94,2,0,Low
14,1,111,3,2,Medium
22,1,92,1,1,Medium
9,6,141,1,1,High
4,0,16,1,1,Low
7,1,185,3,0,High
14,0,105,3,2,Medium
14,2,164,1,1,High
15,6,87,3,0,Low
17,4,181,3,1,High
5,5,5,3,0,Low
1,5,31,3,0,Low
23,2,66,3,2,Low
20,5,149,1,2,Medium
7,3,262,0,2,High
0,6,17,3,0,Low
19,1,238,0,0,High
13,2,159,0,2,Medium
19,3,303,0,1,High
20,6,101,2,0,Medium
16,4,17,3,0,Low
3,2,6,3,2,Low
23,2,85,1,0,Low
9,6,74,2,2,Low
19,5,117,2,0,Medium
11,4,94,0,2,Low
11,2,69,2,0,Low
22,1,106,1,0,Medium
3,5,39,1,0,Low
7,6,85,3,1,Medium
16,6,202,0,1,High
4,3,19,1,1,Low
13,1,165,1,2,Medium
6,0,79,3,2,Low
11,4,105,1,1,Medium
10,5,77,2,0,Low
3,5,39,0,1,Low
1,3,34,2,0,Low
22,0,77,3,2,Low
23,3,71,2,0,Low
16,0,116,1,1,Medium
3,2,5,2,0,Low
8,4,167,3,0,Medium
22,6,62,3,2,Low
22,5,113,2,0,Medium
3,6,27,0,2,Low
12,5,100,3,2,Medium
17,5,111,1,0,Medium
6,2,69,0,0,Low
2,0,17,0,2,Low
18,4,162,2,0,Medium
17,0,195,0,2,High
10,4,205,1,1,High
7,6,144,1,2,Medium
2,5,30,3,1,Low
10,5,105,2,1,Medium
23,0,64,3,2,Low
5,2,29,3,2,Low
22,1,83,2,1,Medium
10,2,231,1,2,High
10,3,274,0,2,High
7,1,181,2,2,High
19,0,220,1,2,High
0,3,26,1,2,Low
21,4,127,2,1,Medium
17,2,201,3,2,High
6,0,95,1,1,Medium
18,6,77,2,0,Low
19,5,180,1,0,High
21,1,95,0,2,Low
23,1,119,2,0,Medium
20,4,254,1,0,High
8,5,116,1,2,Medium
20,2,184,0,0,High
16,3,67,1,2,Low
17,0,229,1,1,High
1,3,41,1,0,Low
0,3,53,1,2,Low
6,5,118,0,1,Medium
23,2,85,1,1,Medium
5,4,36,1,0,Low
23,1,110,2,1,Medium
23,5,141,1,1,High
1,0,10,2,1,Low
12,0,107,1,2,Medium
9,1,160,3,1,High
